web-scraper-order	web-scraper-start-url	title	image-src	link	iframe url
1744867939-1	https://www.crazygames.com/c/clicker/5?sorting=default	Falling Fruits	https://imgs.crazygames.com/falling-fruits/20210913105405/falling-fruits-cover?metadata=none&quality=85&width=273&fit=crop	Falling Fruits	https://games.crazygames.com/en_US/falling-fruits/index.html
1744867939-2	https://www.crazygames.com/c/clicker/5?sorting=default	Chipuzik's Evolution	https://imgs.crazygames.com/chipuzik-s-evolution/20220318105337/chipuzik-s-evolution-cover?metadata=none&quality=85&width=273&fit=crop	Chipuzik's Evolution	https://games.crazygames.com/en_US/chipuzik-s-evolution/index.html
1744867939-3	https://www.crazygames.com/c/clicker/5?sorting=default	Painter's Voyage Idle	https://imgs.crazygames.com/painter-s-voyage-idle/20211221124119/painter-s-voyage-idle-cover?metadata=none&quality=85&width=273&fit=crop	Painter's Voyage Idle	https://games.crazygames.com/en_US/painter-s-voyage-idle/index.html
1744867939-4	https://www.crazygames.com/c/clicker/5?sorting=default	Magic Chop Idle	https://imgs.crazygames.com/magic-chop-idle/20200908142048/magic-chop-idle-cover?metadata=none&quality=85&width=273&fit=crop	Magic Chop Idle	https://games.crazygames.com/en_US/magic-chop-idle/index.html
1744867939-5	https://www.crazygames.com/c/clicker/5?sorting=default	My Sugar Factory 2	https://imgs.crazygames.com/my-sugar-factory-2/20210107065720/my-sugar-factory-2-cover?metadata=none&quality=85&width=273&fit=crop	My Sugar Factory 2	https://games.crazygames.com/en_US/my-sugar-factory-2/index.html
1744867939-6	https://www.crazygames.com/c/clicker/5?sorting=default	Incremental Epic Hero	https://imgs.crazygames.com/games/incremental-epic-hero/cover-1614767386141.png?metadata=none&quality=85&width=273&fit=crop	Incremental Epic Hero	https://games.crazygames.com/en_US/incremental-epic-hero/index.html
1744867939-7	https://www.crazygames.com/c/clicker/5?sorting=default	Slime Farm Remake	https://imgs.crazygames.com/slime-farm-remake/20211216092849/slime-farm-remake-cover?metadata=none&quality=85&width=273&fit=crop	Slime Farm Remake	https://games.crazygames.com/en_US/slime-farm-remake/index.html
1744867939-8	https://www.crazygames.com/c/clicker/5?sorting=default	Cupcake Clicker	https://imgs.crazygames.com/cupcake-clicker/20220113095831/cupcake-clicker-cover?metadata=none&quality=85&width=273&fit=crop	Cupcake Clicker	https://games.crazygames.com/en_US/cupcake-clicker/index.html
1744867939-9	https://www.crazygames.com/c/clicker/5?sorting=default	Haste-Miner	https://imgs.crazygames.com/haste-miner/20220224100130/haste-miner-cover?metadata=none&quality=85&width=273&fit=crop	Haste-Miner	https://games.crazygames.com/en_US/haste-miner/index.html
1744867939-10	https://www.crazygames.com/c/clicker/5?sorting=default	Planet Miner FRVR	https://imgs.crazygames.com/games/planet-miner-frvr/cover-1621849854660.png?metadata=none&quality=85&width=273&fit=crop	Planet Miner FRVR	https://games.crazygames.com/en_US/planet-miner-frvr/index.html
1744867939-11	https://www.crazygames.com/c/clicker/5?sorting=default	Doggo Clicker	https://imgs.crazygames.com/doggo-clicker/20210805153736/doggo-clicker-cover?metadata=none&quality=85&width=273&fit=crop	Doggo Clicker	https://games.crazygames.com/en_US/doggo-clicker/index.html
1744867939-12	https://www.crazygames.com/c/clicker/5?sorting=default	Idle Miner	https://imgs.crazygames.com/idle-miner/20211023070302/idle-miner-cover?metadata=none&quality=85&width=273&fit=crop	Idle Miner	https://games.crazygames.com/en_US/idle-miner/index.html
1744867939-13	https://www.crazygames.com/c/clicker/5?sorting=default	Idle Pinball Breakout	https://imgs.crazygames.com/idle-pinball-breakout/20210105102537/idle-pinball-breakout-cover?metadata=none&quality=85&width=273&fit=crop	Idle Pinball Breakout	https://games.crazygames.com/en_US/idle-pinball-breakout/index.html
1744867939-14	https://www.crazygames.com/c/clicker/5?sorting=default	Colorful City of Cards	https://imgs.crazygames.com/colorful-city-of-cards/20210415163933/colorful-city-of-cards-cover?metadata=none&quality=85&width=273&fit=crop	Colorful City of Cards	https://games.crazygames.com/en_US/colorful-city-of-cards/index.html
1744867939-15	https://www.crazygames.com/c/clicker/5?sorting=default	Monster Impact	https://imgs.crazygames.com/games/monster-impact/cover-1621613153094.png?metadata=none&quality=85&width=273&fit=crop	Monster Impact	https://games.crazygames.com/en_US/monster-impact/index.html
1744867939-16	https://www.crazygames.com/c/clicker/5?sorting=default	My Sugar Factory	https://imgs.crazygames.com/my-sugar-factory/20200909064837/my-sugar-factory-cover?metadata=none&quality=85&width=273&fit=crop	My Sugar Factory	https://games.crazygames.com/en_US/my-sugar-factory/index.html
1744867939-17	https://www.crazygames.com/c/clicker/5?sorting=default	Merge Pickaxe 2	https://imgs.crazygames.com/merge-pickaxe-2/20210201110019/merge-pickaxe-2-cover?metadata=none&quality=85&width=273&fit=crop	Merge Pickaxe 2	https://games.crazygames.com/en_US/merge-pickaxe-2/index.html
1744867939-18	https://www.crazygames.com/c/clicker/5?sorting=default	Weapon Tester	https://imgs.crazygames.com/weapon-tester/20211111173516/weapon-tester-cover?metadata=none&quality=85&width=273&fit=crop	Weapon Tester	https://games.crazygames.com/en_US/weapon-tester/index.html
1744867939-19	https://www.crazygames.com/c/clicker/5?sorting=default	Mining in Notebook 2	https://imgs.crazygames.com/mining-in-notebook-2/20210202154603/mining-in-notebook-2-cover?metadata=none&quality=85&width=273&fit=crop	Mining in Notebook 2	https://games.crazygames.com/en_US/mining-in-notebook-2/index.html
1744867939-20	https://www.crazygames.com/c/clicker/5?sorting=default	Cyber Farm	https://imgs.crazygames.com/cyber-farm/20210618080819/cyber-farm-cover?metadata=none&quality=85&width=273&fit=crop	Cyber Farm	https://games.crazygames.com/en_US/cyber-farm/index.html
1744867939-21	https://www.crazygames.com/c/clicker/5?sorting=default	Incremental Epic Breakers	https://imgs.crazygames.com/incremental-epic-breakers/20201228080046/incremental-epic-breakers-cover?metadata=none&quality=85&width=273&fit=crop	Incremental Epic Breakers	https://games.crazygames.com/en_US/incremental-epic-breakers/index.html
1744867939-22	https://www.crazygames.com/c/clicker/5?sorting=default	Grow Defense	https://imgs.crazygames.com/grow-defense/20210209052943/grow-defense-cover?metadata=none&quality=85&width=273&fit=crop	Grow Defense	https://games.crazygames.com/en_US/grow-defense/index.html
1744867939-23	https://www.crazygames.com/c/clicker/5?sorting=default	Clicker Knights vs Dragons	https://imgs.crazygames.com/games/clicker-knights-vs-dragons/cover-1618469419791.png?metadata=none&quality=85&width=273&fit=crop	Clicker Knights vs Dragons	https://games.crazygames.com/en_US/clicker-knights-vs-dragons/index.html
1744867939-24	https://www.crazygames.com/c/clicker/5?sorting=default	Lunar Atoms Tycoon	https://imgs.crazygames.com/lunar-atoms-tycoon/20210326154950/lunar-atoms-tycoon-cover?metadata=none&quality=85&width=273&fit=crop	Lunar Atoms Tycoon	https://games.crazygames.com/en_US/lunar-atoms-tycoon/index.html
1744867939-25	https://www.crazygames.com/c/clicker/5?sorting=default	Fish Merge FRVR	https://imgs.crazygames.com/games/fish-merge-frvr/cover-1621940229740.png?metadata=none&quality=85&width=273&fit=crop	Fish Merge FRVR	https://games.crazygames.com/en_US/fish-merge-frvr/index.html
1744867939-26	https://www.crazygames.com/c/clicker/5?sorting=default	Particle Clicker	https://imgs.crazygames.com/games/particle-clicker/thumb-1580843594169.png?metadata=none&quality=85&width=273&fit=crop	Particle Clicker	https://games.crazygames.com/en_US/particle-clicker/index.html
1744867939-27	https://www.crazygames.com/c/clicker/5?sorting=default	Infinity Toower	https://imgs.crazygames.com/games/infinity-toower/thumb-1581346863743.png?metadata=none&quality=85&width=273&fit=crop	Infinity Toower	https://games.crazygames.com/en_US/infinity-toower/index.html
1744867939-28	https://www.crazygames.com/c/clicker/5?sorting=default	Mining in Notebook	https://imgs.crazygames.com/mining-in-notebook/20201026122659/mining-in-notebook-cover?metadata=none&quality=85&width=273&fit=crop	Mining in Notebook	https://games.crazygames.com/en_US/mining-in-notebook/index.html
