title,iframe_url,categories
Falling Fruits,https://games.crazygames.com/en_US/falling-fruits/index.html,Idle,Clicker
Chipuzik's Evolution,https://games.crazygames.com/en_US/chipuzik-s-evolution/index.html,Idle,Evolution
Painter's Voyage Idle,https://games.crazygames.com/en_US/painter-s-voyage-idle/index.html,Idle
Magic Chop Idle,https://games.crazygames.com/en_US/magic-chop-idle/index.html,Idle
My Sugar Factory 2,https://games.crazygames.com/en_US/my-sugar-factory-2/index.html,Tycoon,Factory
Incremental Epic Hero,https://games.crazygames.com/en_US/incremental-epic-hero/index.html,Idle,Incremental
Slime Farm Remake,https://games.crazygames.com/en_US/slime-farm-remake/index.html,Farm,Idle
Cupcake Clicker,https://games.crazygames.com/en_US/cupcake-clicker/index.html,Clicker,Idle
Haste-Miner,https://games.crazygames.com/en_US/haste-miner/index.html,Mining,Idle
Planet Miner FRVR,https://games.crazygames.com/en_US/planet-miner-frvr/index.html,Mining,Idle
Doggo Clicker,https://games.crazygames.com/en_US/doggo-clicker/index.html,Clicker,Idle
Idle Miner,https://games.crazygames.com/en_US/idle-miner/index.html,Idle,Mining
Idle Pinball Breakout,https://games.crazygames.com/en_US/idle-pinball-breakout/index.html,Idle,Pinball
Colorful City of Cards,https://games.crazygames.com/en_US/colorful-city-of-cards/index.html,Card,City
Monster Impact,https://games.crazygames.com/en_US/monster-impact/index.html,Monster,Idle
My Sugar Factory,https://games.crazygames.com/en_US/my-sugar-factory/index.html,Tycoon,Factory
Merge Pickaxe 2,https://games.crazygames.com/en_US/merge-pickaxe-2/index.html,Merge,Idle
Weapon Tester,https://games.crazygames.com/en_US/weapon-tester/index.html,Simulator,Weapon
Mining in Notebook 2,https://games.crazygames.com/en_US/mining-in-notebook-2/index.html,Mining,Idle
Cyber Farm,https://games.crazygames.com/en_US/cyber-farm/index.html,Farm,Idle
Incremental Epic Breakers,https://games.crazygames.com/en_US/incremental-epic-breakers/index.html,Idle,Incremental
Grow Defense,https://games.crazygames.com/en_US/grow-defense/index.html,Defense,Idle
Clicker Knights vs Dragons,https://games.crazygames.com/en_US/clicker-knights-vs-dragons/index.html,Clicker,Idle,Adventure
Lunar Atoms Tycoon,https://games.crazygames.com/en_US/lunar-atoms-tycoon/index.html,Tycoon,Idle
Fish Merge FRVR,https://games.crazygames.com/en_US/fish-merge-frvr/index.html,Merge,Fish
Particle Clicker,https://games.crazygames.com/en_US/particle-clicker/index.html,Clicker,Idle
Infinity Toower,https://games.crazygames.com/en_US/infinity-toower/index.html,Idle,Incremental
Mining in Notebook,https://games.crazygames.com/en_US/mining-in-notebook/index.html,Mining,Idle
Mine to the Last,https://games.crazygames.com/en_US/mine-to-the-last/index.html,Mining,Idle
Room Clicker,https://games.crazygames.com/en_US/room-clicker/index.html,Clicker,Idle
Slime Farm 2: Gold Rush,https://games.crazygames.com/en_US/slime-farm-2-gold-rush/index.html,Farm,Idle
Idle Emoji Factory,https://games.crazygames.com/en_US/idle-emoji-factory/index.html,Idle,Factory
Merge Pickaxe,https://games.crazygames.com/en_US/merge-pickaxe/index.html,Merge,Idle
Logistics Inc,https://games.crazygames.com/en_US/logistics-inc/index.html,Tycoon,Logistics
Greedy Dwarves,https://games.crazygames.com/en_US/greedy-dwarves/index.html,Idle,Adventure
Military Capitalist,https://games.crazygames.com/en_US/military-capitalist/index.html,Tycoon,Military
SpinHunter,https://games.crazygames.com/en_US/spinhunter/index.html,Idle,Arcade
Galactic Grind,https://games.crazygames.com/en_US/galactic-grind/index.html,Idle,Space
Idle Chopper,https://games.crazygames.com/en_US/idle-chopper/index.html,Idle,Chopper
Heroic Battle,https://games.crazygames.com/en_US/heroic-battle/index.html,Adventure,Battle
Doge Miner,https://games.crazygames.com/en_US/doge-miner/index.html,Mining,Idle
Carving Madness,https://games.crazygames.com/en_US/carving-madness/index.html,Idle,Arcade
Money Tree 2: Cash Grow Game,https://games.crazygames.com/en_US/money-tree-2-cash-grow-game/index.html,Idle,Tycoon
Idle Mine: Remix,https://games.crazygames.com/en_US/idle-mine-remix/index.html,Idle,Mining
Idle World Miner Tycoon,https://games.crazygames.com/en_US/idle-world-miner-tycoon/index.html,Idle,Tycoon,Mining
Miner Madness Tycoon,https://games.crazygames.com/en_US/time-to-mine---idle-tycoon/index.html,Idle,Tycoon,Mining
Blade of Dimensions,https://games.crazygames.com/en_US/blade-of-dimensions/index.html,Adventure,Idle
Law of the Cat God,https://games.crazygames.com/en_US/law-of-the-cat-god/index.html,Idle,Strategy
Lhama Clicker,https://games.crazygames.com/en_US/lhama-clicker/index.html,Clicker,Idle
Juice Production Tycoon Remake,https://games.crazygames.com/en_US/juice-production-tycoon-remake/index.html,Tycoon,Factory
EvoHero: Idle Gladiators,https://games.crazygames.com/en_US/evohero---idle-gladiators/index.html,Idle,Gladiator
Idle Printers 2,https://games.crazygames.com/en_US/idle-printers-2/index.html,Idle,Factory
Idle Sculpt,https://games.crazygames.com/en_US/idle-sculpt/index.html,Idle,Art
Haste-Clicker,https://games.crazygames.com/en_US/haste-clicker/index.html,Clicker,Idle
Idle Ants,https://games.crazygames.com/en_US/idle-ants/index.html,Idle,Ants
Fruit Clicker,https://games.crazygames.com/en_US/fruit-clicker/index.html,Clicker,Idle
Monopoly Clicker,https://games.crazygames.com/en_US/monopoly-clicker/index.html,Clicker,Idle,Board
Merge Mine: Idle Clicker,https://games.crazygames.com/en_US/merge-mine-idle-clicker/index.html,Merge,Idle,Clicker
Animal Zoo Clicker,https://games.crazygames.com/en_US/animal-zoo-clicker/index.html,Clicker,Idle,Zoo
Cut Annoying Orange Idle,https://games.crazygames.com/en_US/cut-annoying-orange-idle/index.html,Idle,Arcade
President Simulator,https://games.crazygames.com/en_US/president-simulator/index.html,Simulator,Idle
Idle Coffee Business,https://games.crazygames.com/en_US/idle-coffee-business-xmi/index.html,Idle,Tycoon
Click 'n' Heroes,https://games.crazygames.com/en_US/click-n-heroes/index.html,Clicker,Idle,Hero
Horror Bosses Clicker,https://games.crazygames.com/en_US/horror-bosses-clicker/index.html,Clicker,Idle,Horror
Cookie Clicker Save the World,https://games.crazygames.com/en_US/cookie-clicker-save-the-world/index.html,Clicker,Idle
Loop Farmer Idle,https://games.crazygames.com/en_US/loop-farmer-idle/index.html,Idle,Farm
Fantasy Idle Tycoon,https://games.crazygames.com/en_US/fantasy-idle-tycoon/index.html,Idle,Tycoon,Fantasy
Coin Clicker,https://games.crazygames.com/en_US/coin-clicker/index.html,Clicker,Idle
Idle Pet Business,https://games.crazygames.com/en_US/idle-pet-business/index.html,Idle,Tycoon,Pet
Idle Hurricane,https://games.crazygames.com/en_US/idle-hurricane/index.html,Idle,Weather
Aim Trainer Idle,https://games.crazygames.com/en_US/aim-trainer-idle/index.html,Idle,Trainer
Magic Swords Idle RPG,https://games.crazygames.com/en_US/magic-swords-idle-rpg/index.html,Idle,RPG
